INTEREST,Distance(KM),Travel Time(Min),nearby_places,Title,url,p_rating,count,itemId,Unique GENRE,UNIQUE INTEREST,Genre
"Relaxation,Romantic,Adventureous ",445.48km,#VALUE!,NONE,"Garam Chashma, Chitral, PK",,1.7,560,28,Forests,,Nature & Parks
"Relaxation,Romantic,Adventureous ",#VALUE!,#VALUE!,NONE,"Karambar Lake, Chitral, PK",,5,348,29,More,,Nature & Parks
"Relaxation,Romantic,Adventureous ,Historical Heritage",391.5km,503.0166667,NONE,"Kalasha Valleys, Chitral, PK",,3.7,48,30,Arenas & Stadiums,,Nature & Parks
"Relaxation,Adventureous ",#VALUE!,#VALUE!,NONE,"Tirich Mir, Chitral, PK",,1.5,654,31,Castles,,Nature & Parks
"Relaxation,Romantic,Adventureous ",399.03km,519.8166667,NONE,"Rumbur valley, Chitral, PK",,4.2,56,32,Ancient Ruins,,Nature & Parks
Historical Heritage,312.65km,207.1166667,NONE,"University of Agriculture, Faisalabad, PK",,2.2,158,33,Off-Road & ATV Trails,,Sights & Landmarks
Historical Heritage,321.59km,226.55,NONE,"Government College University Faisalabad, Faisalabad, PK",,4.6,652,34,"Sights & Landmarks,Food",,Sights & Landmarks
Historical Heritage,320.38km,222.7666667,NONE,"Gumti Water Fountain, Faisalabad, PK",,5,783,35,Temple,,Monuments & Statues
"Adventureous ,Romantic",318.81km,219.2,NONE,"Sindbad Amusement Park, Faisalabad, PK",,4.9,482,36,Zoos & Aquariums,,Water & Amusement Parks
"Adventureous ,Romantic",318.81km,219.2,NONE,"Sindbad Amusement Park, Faisalabad, PK",,4.2,890,37,"Sights & Landmarks, Historic",,Theme Parks
Romantic,319.89km,222.5666667,NONE,"Jinnah Gardens, Faisalabad, PK",,1.9,656,38,,,Gardens
Relaxation,309km,204.9833333,NONE,"Gatwala Wildlife Park, Faisalabad, PK",,4.5,350,39,,,Nature & Parks
"Relaxation,Romantic",321.99km,223.5833333,NONE,"Kohinoor One, Faisalabad, PK",,2,700,40,,,Shopping Malls
"Relaxation,Romantic",319.33km,221.6333333,NONE,"Abdulrehman resort, Faisalabad, PK",,3.2,25,41,,,Water & Amusement Parks
"Relaxation,Romantic",319.89km,222.5666667,NONE,"Jinnah Gardens, Faisalabad, PK",,5,345,42,,,Nature & Parks
"Relaxation,Romantic",323.73km,227.2666667,NONE,"Sitara Mall, Faisalabad, PK",,4.8,120,43,,,Shopping Malls
Historical Heritage,320.05km,222.7833333,NONE,"Sir Charles James Lyall Monument, Faisalabad, PK",,1.5,456,44,,,Monuments & Statues
"Adventureous ,Romantic",317.52km,216,NONE,"Aqua Land Water Park Majorca, Faisalabad, PK",,3.5,990,45,,,Water & Amusement Parks
Historical Heritage,320.44km,222.8166667,NONE,"Lyallpur Museum, Faisalabad, PK",,4,222,46,,,Museums
"Relaxation,Romantic",323.19km,225.8,NONE,"D Ground Park, Faisalabad, PK",,1.5,43,47,,,Nature & Parks
Historical Heritage,320.35km,224.0166667,NONE,"Clock Tower, Faisalabad, PK",,4.2,678,48,,,Points of Interest & Landmarks
"Relaxation,Romantic",324.64km,227.3833333,NONE,"Pahari Grounds, Faisalabad, PK",,2,789,49,,,Nature & Parks
"Relaxation,Adventureous ,Historical Heritage",604.39km,#VALUE!,NONE,"Altit Fort, Hunza, PK",,3.2,567,50,,,Nature & Parks
"Relaxation,Adventureous ,Romantic",598.63km,#VALUE!,NONE,"Patundas Meadows, Hunza, PK",,3.8,245,51,,,Nature & Parks
Adventureous ,598.63km,#VALUE!,NONE,"Hoper Valley, Hunza, PK",,4.5,890,52,,,Geologic Formations
"Relaxation,Romantic,Adventureous ",598.63km,#VALUE!,NONE,"Borith Lake, Hunza, PK",,4.2,13,53,,,Bodies of Water
"Adventureous ,Historical Heritage",703.64km,#VALUE!,NONE,"Kalam Darchi Fort, Hunza, PK",,1,123,54,,,Military Bases & Facilities
"Adventureous ,Historical Heritage",604.39km,#VALUE!,NONE,"Altit Fort, Hunza, PK",,5,67,55,,,Historic Sites
"Relaxation,Romantic,Adventureous ",708.42km,#VALUE!,NONE,"Shim Shal, Hunza, PK",,3.9,412,56,,,Sights & Landmarks
"Adventureous ,Relaxation",598.63km,#VALUE!,NONE,"Hoper Valley, Hunza, PK",,4.8,25,57,,,Nature & Parks
"Adventureous ,Relaxation",#VALUE!,#VALUE!,NONE,"Passu Glacier, Hunza, PK",,3.5,654,58,,,Nature & Parks
"Adventureous ,Relaxation",#VALUE!,#VALUE!,NONE,"Batura Glacier, Hunza, PK",,2.9,134,59,,,Nature & Parks
"Relaxation,Romantic,Adventureous ",598.63km,#VALUE!,NONE,"Gojal Valley, Hunza, PK",,1.7,560,60,,,Nature & Parks
Adventureous ,637.09km,#VALUE!,NONE,"Hussaini Hanging Bridge, Hunza, PK",,5,348,61,,,Sights & Landmarks
"Historical Heritage,Relaxation,Romantic",600.9km,#VALUE!,NONE,"Ganish, Hunza, PK",,3.7,48,62,,,Sights & Landmarks
"Historical Heritage,Relaxation,Romantic",703.64km,#VALUE!,NONE,"Kalam Darchi Fort, Hunza, PK",,1.5,654,63,,,Sights & Landmarks
"Relaxation,Romantic,Adventureous ",623.17km,#VALUE!,NONE,"Attabad lake, Hunza, PK",,4.2,56,64,,,Points of Interest & Landmarks
"Adventureous ,Relaxation,Romantic",#VALUE!,#VALUE!,NONE,"Satrangi Lake, Hunza, PK",,2.2,158,65,,,Bodies of Water
Adventureous ,598.63km,#VALUE!,NONE,"Hunza River, Hunza, PK",,4.6,652,66,,,Nature & Parks
"Adventureous ,Relaxation,Romantic",#VALUE!,#VALUE!,NONE,"Satrangi Lake, Hunza, PK",,5,783,67,,,Nature & Parks
"Adventureous ,Relaxation,Historical Heritage",#VALUE!,#VALUE!,NONE,"Kunjerab Pass, Hunza, PK",,4.9,482,68,,,Sights & Landmarks
"Adventureous ,Relaxation,Historical Heritage",113.84km,125,NONE,"Rohtas Fort, Jehlum, PK",,4.2,890,69,,,Historic Sites
Adventureous ,185.65km,154.2,NONE,"Khewra Salt Mine, Jehlum, PK",,1.9,656,70,,,Points of Interest & Landmarks
"Relaxation,Romantic",199.19km,191.4666667,NONE,"Lalazar, Kaghan Valley, PK",,4.5,350,71,,,Nature & Parks
"Adventureous ,Relaxation,Romantic",199.19km,191.4666667,NONE,"Lulusar Lake, Kaghan Valley, PK",,2,700,72,,,Nature & Parks
"Adventureous ,Romantic",290.98km,380.4,NONE,"Saif-ul-malouk, Kaghan Valley, PK",,3.2,25,73,,,Nature & Parks
"Adventureous ,Relaxation,Romantic",#VALUE!,#VALUE!,NONE,"Gojal Valley, Kashmir, PK",,5,345,74,,,Valleys
"Adventureous ,Relaxation,Romantic",#VALUE!,#VALUE!,NONE,"Patundas Meadows, Kashmir, PK",,4.8,120,75,,,Geologic Formations
"Relaxation,Romantic",593.43km,#VALUE!,NONE,"Hunza River, Kashmir, PK",,1.5,456,76,,,Bodies of Water
Historical Heritage,602.86km,#VALUE!,NONE,"Sacred Rocks of Hunza, Kashmir, PK",,3.5,990,77,,,Points of Interest & Landmarks
"Historical Heritage,Adventureous ",604.39km,#VALUE!,NONE,"Altit Fort, Kashmir, PK",,4,222,78,,,Sights & Landmarks
Historical Heritage,602.86km,#VALUE!,NONE,"Sacred Rocks of Hunza, Kashmir, PK",,1.5,43,79,,,Sights & Landmarks
"Relaxation,Romantic",623.17km,#VALUE!,NONE,"Attabad lake, Kashmir, PK",,4.2,678,80,,,Scenic Walking Areas
Relaxation,129.36km,153.45,NONE,"Bhutto Park, Kashmir, PK",,2,789,81,,,Nature & Parks
Historical Heritage,134.12km,166.9333333,NONE,"Darbar E Aalia Khari Sharif, Kashmir, PK",,3.2,567,82,,,Sacred & Religious Sites
Historical Heritage,134.12km,166.9333333,NONE,"Darbar E Aalia Khari Sharif, Kashmir, PK",,3.8,245,83,,,Sights & Landmarks
Relaxation,138.63km,248.0666667,NONE,"Dhani Waterfall, Kashmir, PK",,4.5,890,84,,,Nature & Parks
Relaxation,138.63km,248.0666667,NONE,"Dhani Waterfall, Kashmir, PK",,4.2,13,85,,,Waterfalls
"Relaxation,Romantic",117.18km,196.4333333,NONE,"Dream Valley Resort, Kashmir, PK",,1,123,86,,,Nature & Parks
"Relaxation,Romantic",117.18km,196.4333333,NONE,"Dream Valley Resort, Kashmir, PK",,5,67,87,,,Mountains
"Relaxation,Romantic",117.18km,196.4333333,NONE,"Dream Valley Resort, Kashmir, PK",,3.9,412,88,,,Valleys
Adventureous ,184.24km,307.8333333,NONE,"Ganga choti, Kashmir, PK",,4.8,25,89,,,Mountains
Adventureous ,184.24km,307.8333333,NONE,"Ganga choti, Kashmir, PK",,3.5,654,90,,,Nature & Parks
"Relaxation,Romantic",#VALUE!,#VALUE!,NONE,"Gurez Valley , Kashmir, PK",,2.9,134,91,,,Scenic Drives
"Relaxation,Romantic",#VALUE!,#VALUE!,NONE,"Gurez Valley (Kel to Taobat), Kashmir, PK",,1.7,560,92,,,Sights & Landmarks
"Relaxation,Romantic",#VALUE!,#VALUE!,NONE,"Gurez Valley (Kel to Taobat), Kashmir, PK",,5,348,93,,,Nature & Parks
"Relaxation,Romantic",#VALUE!,#VALUE!,NONE,"Gurez Valley (Kel to Taobat), Kashmir, PK",,3.7,48,94,,,Nature & Wildlife Areas
"Relaxation,Romantic",#VALUE!,#VALUE!,NONE,"Gurez Valley (Kel to Taobat), Kashmir, PK",,1.5,654,95,,,Hiking Trails
"Relaxation,Romantic",#VALUE!,#VALUE!,NONE,"Gurez Valley (Kel to Taobat), Kashmir, PK",,4.2,56,96,,,Outdoor Activities
Relaxation,149.73km,178.0333333,NONE,"Jari Kas Park, Kashmir, PK",,2.2,158,97,,,Nature & Parks
Relaxation,149.73km,178.0333333,NONE,"Jari Kas Park, Kashmir, PK",,4.6,652,98,,,Fun & Games
Relaxation,149.73km,178.0333333,NONE,"Jari Kas Park, Kashmir, PK",,5,783,99,,,Playgrounds
Adventureous ,98.01km,142.1666667,NONE,"Kohala Bridge, Kashmir, PK",,4.9,482,100,,,Bridges
Adventureous ,98.01km,142.1666667,NONE,"Kohala Bridge, Kashmir, PK",,4.2,890,101,,,Sights & Landmarks
Adventureous ,124.61km,149.0333333,NONE,"Mangla Dam, Kashmir, PK",,1.9,656,102,,,Dams
Adventureous ,124.61km,149.0333333,NONE,"Mangla Dam, Kashmir, PK",,4.5,350,103,,,Nature & Parks
"Historical Heritage,Adventureous ",123.59km,147.7,NONE,"Mangla Fort, Kashmir, PK",,2,700,104,,,Historic Sites
"Historical Heritage,Adventureous ",123.59km,147.7,NONE,"Mangla Fort, Kashmir, PK",,3.2,25,105,,,Sights & Landmarks
Historical Heritage,#VALUE!,#VALUE!,NONE,"Mazar Miran Mir Sarkar, Kashmir, PK",,5,345,106,,,Sights & Landmarks
Historical Heritage,#VALUE!,#VALUE!,NONE,"Mazar Miran Mir Sarkar, Kashmir, PK",,4.8,120,107,,,Historic Sites
Historical Heritage,133.87km,162,NONE,"Mirpur Old City Ruins, Kashmir, PK",,1.5,456,108,,,Points of Interest & Landmarks
Historical Heritage,133.87km,162,NONE,"Mirpur Old City Ruins, Kashmir, PK",,3.5,990,109,,,Historic Sites
Historical Heritage,133.87km,162,NONE,"Mirpur Old City Ruins, Kashmir, PK",,4,222,110,,,Scenic Walking Areas
Historical Heritage,133.87km,162,NONE,"Mirpur Old City Ruins, Kashmir, PK",,1.5,43,111,,,Sights & Landmarks
Adventureous ,175.96km,273.7666667,NONE,"Neelum Jhelum Power Plant, Kashmir, PK",,4.2,678,112,,,Sights & Landmarks
Adventureous ,175.96km,273.7666667,NONE,"Neelum Jhelum Power Plant, Kashmir, PK",,2,789,113,,,Points of Interest & Landmarks
"Relaxation,Romantic",134.33km,195.3833333,NONE,"Neelum River, Kashmir, PK",,3.2,567,114,,,Nature & Parks
"Relaxation,Romantic",134.33km,195.3833333,NONE,"Neelum River, Kashmir, PK",,3.8,245,115,,,Bodies of Water
"Relaxation,Romantic",234.87km,405.5333333,NONE,"Neelum Valley, Kashmir, PK",,4.5,890,116,,,Nature & Parks
"Relaxation,Romantic",234.87km,405.5333333,NONE,"Neelum Valley, Kashmir, PK",,4.2,13,117,,,Valleys
Romantic,109.06km,176.15,NONE,"Nergola Waterfall, Kashmir, PK",,1,123,118,,,Nature & Wildlife Areas
Romantic,109.06km,176.15,NONE,"Nergola Waterfall, Kashmir, PK",,5,67,119,,,Nature & Parks
Romantic,109.06km,176.15,NONE,"Nergola Waterfall, Kashmir, PK",,3.9,412,120,,,Forests
Romantic,109.06km,176.15,NONE,"Nergola Waterfall, Kashmir, PK",,4.8,25,121,,,More
Romantic,109.06km,176.15,NONE,"Nergola Waterfall, Kashmir, PK",,3.5,654,122,,,Waterfalls
Historical Heritage,#VALUE!,#VALUE!,NONE,"Old Hindu Temple Mandar, Kashmir, PK",,2.9,134,123,,,Historic Sites
Historical Heritage,#VALUE!,#VALUE!,NONE,"Old Hindu Temple Mandar, Kashmir, PK",,1.7,560,124,,,Sacred & Religious Sites
Historical Heritage,#VALUE!,#VALUE!,NONE,"Old Hindu Temple Mandar, Kashmir, PK",,5,348,125,,,Points of Interest & Landmarks
Historical Heritage,#VALUE!,#VALUE!,NONE,"Old Hindu Temple Mandar, Kashmir, PK",,3.7,48,126,,,Sights & Landmarks
"Relaxation,Romantic",159.94km,251.3,NONE,"Peer Chanasi, Kashmir, PK",,1.5,654,127,,,Nature & Parks
"Relaxation,Romantic",159.94km,251.3,NONE,"Peer Chanasi, Kashmir, PK",,4.2,56,128,,,Mountains
"Relaxation,Romantic",160.66km,253.2833333,NONE,"Pir Chinasi, Kashmir, PK",,2.2,158,129,,,Mountains
"Relaxation,Romantic",160.66km,253.2833333,NONE,"Pir Chinasi, Kashmir, PK",,4.6,652,130,,,Nature & Parks
Historical Heritage,133.29km,160.3,NONE,"Quaid E Azam Stadium, Kashmir, PK",,5,783,131,,,Arenas & Stadiums
Historical Heritage,133.29km,160.3,NONE,"Quaid E Azam Stadium, Kashmir, PK",,4.9,482,132,,,Sights & Landmarks
Relaxation,#VALUE!,#VALUE!,NONE,"Quaid-e-Azam Tourist Lodge, Kashmir, PK",,4.2,890,133,,,Points of Interest & Landmarks
Relaxation,#VALUE!,#VALUE!,NONE,"Quaid-e-Azam Tourist Lodge, Kashmir, PK",,1.9,656,134,,,Sights & Landmarks
"Adventureous ,Historical Heritage",113.89km,179.3833333,NONE,"Ramkot Fort, Kashmir, PK",,4.5,350,135,,,Sights & Landmarks
"Adventureous ,Historical Heritage",113.89km,179.3833333,NONE,"Ramkot Fort, Kashmir, PK",,2,700,136,,,Historic Sites
"Adventureous ,Historical Heritage",113.89km,179.3833333,NONE,"Ramkot Fort, Kashmir, PK",,3.2,25,137,,,Castles
"Adventureous ,Relaxation,Romantic",#VALUE!,#VALUE!,NONE,"Ratti Gali Lake, Kashmir, PK",,5,345,138,,,Bodies of Water
"Adventureous ,Relaxation,Romantic",#VALUE!,#VALUE!,NONE,"Ratti Gali Lake, Kashmir, PK",,4.8,120,139,,,Nature & Parks
"Adventureous ,Historical Heritage",137.5km,206.8166667,NONE,"Red Fort, Kashmir, PK",,1.5,456,140,,,Points of Interest & Landmarks
"Adventureous ,Historical Heritage",137.5km,206.8166667,NONE,"Red Fort, Kashmir, PK",,3.5,990,141,,,Historic Sites
"Adventureous ,Historical Heritage",137.5km,206.8166667,NONE,"Red Fort, Kashmir, PK",,4,222,142,,,Sights & Landmarks
Historical Heritage,371.26km,525.35,NONE,"Sharda Peeth, Kashmir, PK",,1.5,43,143,,,Historic Sites
Historical Heritage,371.26km,525.35,NONE,"Sharda Peeth, Kashmir, PK",,4.2,678,144,,,Sacred & Religious Sites
Historical Heritage,371.26km,525.35,NONE,"Sharda Peeth, Kashmir, PK",,2,789,145,,,Ancient Ruins
Historical Heritage,371.26km,525.35,NONE,"Sharda Peeth, Kashmir, PK",,3.2,567,146,,,Sights & Landmarks
Historical Heritage,371.26km,525.35,NONE,"Sharda Peeth, Kashmir, PK",,3.8,245,147,,,Points of Interest & Landmarks
"Relaxation,Romantic,Adventureous ",414.95km,#VALUE!,NONE,"Shounter Valley, Kashmir, PK",,4.5,890,148,,,Nature & Parks
"Relaxation,Romantic,Adventureous ",414.95km,#VALUE!,NONE,"Shounter Valley, Kashmir, PK",,4.2,13,149,,,Outdoor Activities
"Relaxation,Romantic,Adventureous ",414.95km,#VALUE!,NONE,"Shounter Valley, Kashmir, PK",,1,123,150,,,Hiking Trails
"Relaxation,Romantic,Adventureous ",414.95km,#VALUE!,NONE,"Shounter Valley, Kashmir, PK",,5,67,151,,,Off-Road & ATV Trails
"Relaxation,Romantic,Adventureous ",414.95km,#VALUE!,NONE,"Shounter Valley, Kashmir, PK",,3.9,412,152,,,Valleys
"Adventureous ,Relaxation",142.16km,275.5,NONE,"Toli Pir, Kashmir, PK",,4.8,25,153,,,Mountains
"Adventureous ,Relaxation",142.16km,275.5,NONE,"Toli Pir, Kashmir, PK",,3.5,654,154,,,Nature & Parks
Historical Heritage,201.47km,162.4833333,NONE,"Bab-e-Khyber, Khyber Agency, PK",,2.9,134,155,,,Sights & Landmarks
"Adventureous ,Relaxation",#VALUE!,#VALUE!,NONE,"Hindu Kush Mountains, KPK, PK",,1.7,560,156,,,Nature & Parks
Historical Heritage,374.48km,260.0333333,NONE,"Akbari Sarai, Lahore, PK",,5,348,157,,,Sights & Landmarks
Historical Heritage,372.72km,257.5666667,NONE,"Governor House, Lahore, PK",,3.7,48,158,,,Sights & Landmarks
Historical Heritage,372.64km,258.6,NONE,"Aitchison College Lahore, Lahore, PK",,1.5,654,159,,,Sights & Landmarks
"Historical Heritage,Relaxation",361.36km,251.55,NONE,"Badshahi Mosque, Lahore, PK",,4.2,56,160,,,Sights & Landmarks
"Historical Heritage,Relaxation",361.98km,250.5666667,NONE,"Minar-e-Pakistan, Lahore, PK",,2.2,158,161,,,Sights & Landmarks
"Historical Heritage,Relaxation",361.48km,252.2166667,NONE,"Alamgiri Gate, Lahore, PK",,4.6,652,162,,,Sights & Landmarks
Historical Heritage,370.53km,256.3333333,NONE,"Shahi Hammam, Lahore, PK",,5,783,163,,,Sights & Landmarks
Historical Heritage,361.8km,253.4833333,NONE,"Bhatti Gate, Lahore, PK",,4.9,482,164,,,Sights & Landmarks
"Historical Heritage,Relaxation,Romantic",380.44km,253.0333333,NONE,"Fort and Shalamar Gardens, Lahore, PK",,4.2,890,165,,,Nature & Parks
"Adventureous ,Historical Heritage",387.7km,261.1833333,NONE,"Wagah Border, Lahore, PK",,1.9,656,166,,,Sights & Landmarks
Historical Heritage,361.48km,252.2166667,NONE,"Roshnai Gate, Lahore, PK",,4.5,350,167,,,Sights & Landmarks
Historical Heritage,361.48km,252.2166667,NONE,"Gurudwara Dera Sahib, Lahore, PK",,2,700,168,,,Sights & Landmarks
Historical Heritage,370.53km,256.3333333,NONE,"Wazir Khan Hammam, Lahore, PK",,3.2,25,169,,,Sights & Landmarks
Historical Heritage,361.38km,251.65,NONE,"Tomb of Muhammad Iqbal, Lahore, PK",,5,345,170,,,Sights & Landmarks
Historical Heritage,369.06km,250.3666667,NONE,"General Post Office Lahore, Lahore, PK",,4.8,120,171,,,Sights & Landmarks
Historical Heritage,363.21km,260.1,NONE,"Masjid Wazir Khan (Wazir Khan Mosque), Lahore, PK",,1.5,456,172,,,Sights & Landmarks
Historical Heritage,371.22km,256.9666667,NONE,"Summit Minar, Lahore, PK",,3.5,990,173,,,Sights & Landmarks
Historical Heritage,368.14km,249.0833333,NONE,"Anarkali's Tomb, Lahore, PK",,4,222,174,,,Sights & Landmarks
"Relaxation,Romantic",386.21km,265.9833333,NONE,"Eiffel Tower Replica, Lahore, PK",,1.5,43,175,,,Sights & Landmarks
Historical Heritage,361.95km,254.1833333,NONE,"Mosque of Mariyam Zamani Begum, Lahore, PK",,4.2,678,176,,,Sights & Landmarks
Historical Heritage,370.87km,257.4333333,NONE,"Delhi Gate, Lahore, PK",,2,789,177,,,Sights & Landmarks
Historical Heritage,370.75km,253.3166667,NONE,"Tomb of Shah Jamal, Lahore, PK",,3.2,567,178,,,Sights & Landmarks
Historical Heritage,366.58km,244.0166667,NONE,"Chauburji, Lahore, PK",,3.8,245,179,,,Sights & Landmarks
Historical Heritage,367.95km,245.9,NONE,"Ali Hajvery's Tomb, Lahore, PK",,4.5,890,180,,,Sights & Landmarks
Historical Heritage,368.76km,248.8333333,NONE,"Lohari Gate, Lahore, PK",,4.2,13,181,,,Sights & Landmarks
"Historical Heritage,Relaxation,Romantic",367.79km,247.85,NONE,"Food Street Taxali, Lahore, PK",,1,123,182,,,"Sights & Landmarks,Food"
"Historical Heritage,Adventureous ",156km,131.5,NONE,"Takht-i-Bahi, Mardan, PK",,5,67,183,,,Sights & Landmarks
Historical Heritage,544.28km,355.8333333,NONE,"Tomb of Bahauddin Zakariya, Multan, PK",,3.9,412,184,,,Sights & Landmarks
"Historical Heritage,Relaxation",537.73km,356.4,NONE,"Multan Arts Council, Multan, PK",,4.8,25,185,,,Sights & Landmarks
"Relaxation,Romantic",563.93km,365.7166667,NONE,"Cantonment Garden, Multan, PK",,3.5,654,186,,,Nature & Parks
Historical Heritage,543.86km,358.35,NONE,"Shrine Khawaja Awais Kagha, Multan, PK",,2.9,134,187,,,Sights & Landmarks
"Relaxation,Romantic",563.78km,364.95,NONE,"CSD Park, Multan, PK",,1.7,560,188,,,Nature & Parks
Historical Heritage,543.42km,352.5833333,NONE,"Dolat Gate, Multan, PK",,5,348,189,,,Sights & Landmarks
Historical Heritage,544.44km,356.4833333,NONE,"Nigar Khana, Multan, PK",,3.7,48,190,,,Sights & Landmarks
Historical Heritage,534.4km,352.95,NONE,"Tomb Shah Shams Sabzwari Tabrez, Multan, PK",,1.5,654,191,,,Sights & Landmarks
"Relaxation,Romantic",537.98km,357.8833333,NONE,"United Mall, Multan, PK",,4.2,56,192,,,Shopping
Historical Heritage,542.98km,354.2333333,NONE,"Delhi Gate, Multan, PK",,2.2,158,193,,,Sights & Landmarks
Historical Heritage,539.76km,359.3,NONE,"Tomb Shah Ali Akbar, Multan, PK",,4.6,652,194,,,Sights & Landmarks
"Relaxation,Romantic",567.34km,361.1166667,NONE,"Chenab West Bank Park, Multan, PK",,5,783,195,,,Nature & Parks
Historical Heritage,536.83km,340.3666667,NONE,"Char Minar Masjid, Multan, PK",,4.9,482,196,,,Sights & Landmarks
Historical Heritage,536.42km,354.8833333,NONE,"Ghanta Ghar, Multan, PK",,4.2,890,197,,,Sights & Landmarks
Historical Heritage,537.1km,357.5333333,NONE,"Shrine of Mai Maharban, Multan, PK",,1.9,656,198,,,Sights & Landmarks
Historical Heritage,543.68km,356.95,NONE,"Haram Gate, Multan, PK",,4.5,350,199,,,Sights & Landmarks
"Relaxation,Romantic",542.27km,366.0666667,NONE,"Chaman Zar Askari Lake Park, Multan, PK",,2,700,200,,,Water & Amusement Parks
Historical Heritage,544.28km,355.8333333,NONE,"Mausoleum of Bibi Pak Daman, Multan, PK",,3.2,25,201,,,Sights & Landmarks
Historical Heritage,536.87km,356.3166667,NONE,"Shrine of Shah Yusuf Gardezi, Multan, PK",,5,345,202,,,Sights & Landmarks
Historical Heritage,536.56km,355.4666667,NONE,"Tomb Shah Rukne Alam, Multan, PK",,4.8,120,203,,,Sights & Landmarks
